"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 02 13:05:35 GMT 2024","Tue Jul 02 13:05:37 GMT 2024","1988","webkit","sampleTest.spec.js","","","","Drop down",""
"passed","Tue Jul 02 13:05:37 GMT 2024","Tue Jul 02 13:05:41 GMT 2024","3609","webkit","sampleTest.spec.js","","","","Web table and dates",""
"passed","Tue Jul 02 13:04:47 GMT 2024","Tue Jul 02 13:04:48 GMT 2024","1040","chromium","sampleTest.spec.js","","","","Drop down",""
"passed","Tue Jul 02 13:05:10 GMT 2024","Tue Jul 02 13:05:12 GMT 2024","2077","firefox","sampleTest.spec.js","","","","Drop down",""
"passed","Tue Jul 02 13:04:45 GMT 2024","Tue Jul 02 13:04:47 GMT 2024","1629","chromium","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Tue Jul 02 13:04:50 GMT 2024","Tue Jul 02 13:04:57 GMT 2024","7217","chromium","sampleTest.spec.js","","","","New window Alert pop up",""
"passed","Tue Jul 02 13:04:48 GMT 2024","Tue Jul 02 13:04:50 GMT 2024","1719","chromium","sampleTest.spec.js","","","","Web table and dates",""
"passed","Tue Jul 02 13:05:12 GMT 2024","Tue Jul 02 13:05:14 GMT 2024","2383","firefox","sampleTest.spec.js","","","","Web table and dates",""
"passed","Tue Jul 02 13:05:07 GMT 2024","Tue Jul 02 13:05:10 GMT 2024","2994","firefox","sampleTest.spec.js","","","","Web form and radio button",""
"passed","Tue Jul 02 13:05:14 GMT 2024","Tue Jul 02 13:05:22 GMT 2024","7668","firefox","sampleTest.spec.js","","","","New window Alert pop up",""
"passed","Tue Jul 02 13:05:41 GMT 2024","Tue Jul 02 13:05:48 GMT 2024","7730","webkit","sampleTest.spec.js","","","","New window Alert pop up",""
"failed","Tue Jul 02 13:05:32 GMT 2024","Tue Jul 02 13:05:35 GMT 2024","2683","webkit","sampleTest.spec.js","","","","Web form and radio button",""
